Compound name in figures,Complete compound name,1314_A,1314_B,1314_C,1314P_A,1314P_B,1314P_C,1545_A,1545_B,1545_C,1771_A,1771_B,1771_C,2021_A,2021_B,2021_C,2090_A,2090_B,2090_C,3430_A,3430_B,3430_C,371_A,371_B,371_C,449_A,449_B,449_C,7803_B,7803_F,8102_A,8102_F,8501_B,8501_C,8501_D,As9601_A,As9601_B,As9601_C,Cy_A,Cy_B,Cy_C,MED4_D,MED4_E,MED4_F,Nat_A,Nat_B,Nat_C,Nmar_1,Nmar_2,Nmar_3,Np_A,Np_C,Np_F,Pc55x_A,Pc55x_B,Pc55x_C,Pt_C,Pt_F,To_A,To_B,To_C,Tp_A,Tp_E,Tp_F
Taurine,Taurine,3003.832822542075,3083.2251673471683,3912.99615279298,NA,NA,NA,5841.099771460532,6953.079698914749,7124.026593815701,476.5733248172948,525.0733927186706,769.6221307283919,1054.6520707229686,787.2350007641102,772.4356677774523,23.60177486331689,41.071337644715044,67.75460621651673,48247.570745623445,46751.239543386415,46893.36259361302,68.36679990353672,65.76696463044361,72.5777129676833,737.8382856196271,623.238806085619,469.74602822109915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.59147079326294,44.809384309571044,26.342474767212412,NA,NA,NA,NA,NA,NA,6.823100807322537e-7,NA,NA,NA,NA,NA,430.36035793402743,464.7628921647667,494.09702890875974,NA,NA,NA,NA,NA,NA,NA,NA
Threonine,L-Threonine,4331.490661014682,4343.26502433734,3956.639097703546,382.06365465450705,356.26229517532727,NA,1288.067380089485,1305.8589727798037,1179.163105220864,483.66908830550693,597.4332707408736,1099.677310774521,557.3690990109802,382.2002084972933,217.4958503334893,737.8369693785233,732.6490723082734,971.7286714644024,8333.26016399959,8929.31780256197,8906.18638855129,NA,NA,NA,751.4881501130385,634.8778955325017,657.1122254821523,1875.9371867551492,2910.144081028675,9141.57942706095,7545.306074425149,257.02947493773735,294.91433154775444,287.8451092213135,1040.773445469832,931.2914523509402,1002.0085532846297,1198.6715701258545,3389.2097656209708,2260.4345477758948,5949.695008830927,7274.013767190278,7089.702352131299,4350.437747378927,5431.964932730991,4722.526721093141,7.612097035367561e-5,8.302260049303162e-5,2.817608868910918e-4,272.9121747003359,207.0376754572737,219.6270889107875,598.624584526426,701.0413324022858,591.2441122659235,248.36173032554566,235.2486463658383,2922.5118369625598,1551.3654276122556,1763.2575877893973,3194.8767515476047,2436.0599637239297,1452.005201478417
Thymidine,Thymidine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trehalose,Trehalose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3328.2900536472885,5462.734432718977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trigonelline,Trigonelline,64.82557914064901,68.48141121238528,45.28917466725258,NA,NA,NA,617.1165988051507,598.115247377534,610.2310548297247,1474.1256140047853,1912.6355725816159,2501.8704445751578,6.9320497749244625,4.22691627423981,5.719953247132119,NA,NA,18.319145738945284,NA,NA,NA,NA,NA,NA,138.08625187590866,114.18578136129837,79.7231244208851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.00928269280151,110.45368801640636,57.99462988824472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.48187682518382,56.88378754667316,NA,NA,NA,144.00973582446508,131.5015028286358,68.13942949005005
TMAP,beta-Alaninebetaine,NA,NA,NA,NA,NA,NA,NA,NA,NA,2857.94157990728,3614.146804060324,4631.032130632733,NA,3.8943368874457245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.39874341448379,48.61259360453391,35.211063202688266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tryptophan,L-Tryptophan,9.399726469426296,NA,NA,21.74750364488967,15.480920309486475,17.584882438233727,13.320563950143596,13.116351729213097,13.421877631455066,144.87489829520072,229.36784951742675,258.5895491808855,51.773839632418344,29.35076403698406,46.06902419780851,55.446244646152486,41.40233924295908,67.80109018862731,70.31508570247742,79.9697467521948,88.21705239887598,32.67099723933304,35.766881871001424,35.65423773077531,19.624262828205783,17.329730524521977,11.72656623594333,108.20402280825397,64.09748083040499,183.60745968851336,183.85272061302103,7.875424146397412,16.274263518913816,14.808534460357308,22.33436424858105,18.928207873728027,19.965568944128904,71.41337233691381,151.71430228771368,89.03753757769161,231.67583933906764,284.9753301439813,254.90642216624116,172.22141468403527,227.6329924870873,237.22882322557243,1.8519794787007312e-6,2.1269988255963984e-6,6.913483943181342e-6,57.13516339753164,47.83594251327902,42.95647013180107,427.4103955196179,454.58020687787985,429.32776157050193,15.10948412742131,13.047778050117195,778.042729134531,573.6381952897232,635.6877112508877,274.6645354183573,295.2630984288519,171.01968512243099
Tyrosine,L-Tyrosine,NA,NA,NA,299.379756379611,219.7310906187977,273.78056549786055,NA,NA,NA,65.41844144251932,246.74891671505515,317.36815305781704,892.1026637952665,491.4668737044625,724.922498292995,108.78638265934565,63.78930983430184,121.82678053440812,286.0726770099543,312.22220375275504,332.1643779668641,51.17626111920236,60.55732602651901,71.77869799320777,112.81623954052762,97.6904652942479,73.43902738542856,722.3641172624431,881.9348739131053,806.4256386171542,625.6694692997071,112.23561797607893,228.61857139437643,188.7702977821012,513.4849595339551,470.1709601662294,487.4661514944592,139.86735900744316,371.8927704264577,232.32758146221383,1109.7142672214484,1748.6494066947253,1549.5216911786322,1406.030042305847,1774.9689281621513,1728.500965766113,2.521987788835853e-5,2.709757102239119e-5,9.621483218654882e-5,54.64141711928542,45.0933220828672,57.10243257039231,1575.4598810363289,1709.1947430653463,1524.0014636591304,19.223239187652148,14.582929091681466,253.89210046395092,157.553824462633,193.511327779367,351.77640505430395,401.96352524506733,216.45772595816348
UDP-glucosamine,UDP-N-acetylglucosamine,NA,NA,NA,78.52778654922976,110.02680606457317,102.71797318471702,62.38580807250592,60.66765600262456,65.93604724743876,NA,NA,NA,39.44508699749322,24.665602230675404,20.069364743398356,NA,NA,NA,NA,NA,NA,NA,5.54951951033522,NA,NA,NA,NA,191.50118995176206,247.17020673821276,265.7156308825658,270.9723066611172,45.6370411256808,65.8523258319814,55.9997285915925,194.31494131458987,165.6269775233276,184.25711248858272,245.22036764339438,611.275907582837,399.30891012287856,471.1822604314671,552.2337828130281,631.824178218207,1435.5630322428312,1496.0636447360514,1522.3898972340714,3.904922762902233e-5,4.249929815001341e-5,1.68070634044907e-4,69.8580947611969,82.40914395194824,66.1361331116026,45.13072576871599,49.504491990045715,54.16665907930627,1.243371925709954,3.4833975450562913,156.00469315476457,87.69250689945623,106.09153111524364,107.05471837775603,123.2889788787944,62.53226066055581
Uracil,Uracil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uridine,Uridine,385.007648227229,553.8840737305178,478.97627903130365,NA,NA,NA,7.220593704697057,11.324064850265614,14.101297753151147,836.3016658383979,929.937984131663,1686.1101832179602,288.59200347478094,178.1040143566221,150.80224156677784,434.51225897715614,207.32779924388524,174.1994707118676,NA,35.63784408398676,84.80950398300871,212.78901162370516,244.736678139796,228.5614214424621,2296.9302895262795,1990.2554368705155,1271.5512075624636,200.27754616873824,208.45948650501973,209.36459168559918,244.49182252537452,NA,6.171348680044955,NA,NA,13.232177558880228,NA,64.26428200128291,107.72488262769652,63.19263559989564,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.45142720796854,69.1458981872198,168.70492845991538,19.230166120338904,21.473499169603517,25.419079560543405,1.815930342923409,1.3437250696150143,38.22374228290425,22.70450612648229,18.36544796666941,15.030450240728303,14.20582485090858,8.784551318433643
Vit B2,Riboflavin,1.1237895959247302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.690149747349944,0.8911997863772865,0.6619691097032607,8.76230814241649,NA,10.97046992284858,NA,NA,NA,12.072353498011884,12.611236463388002,11.563015245330181,NA,NA,NA,3.2657756419267328,0.7939224436661234,0.9197072974721602,0.8174104740456751,0.20616324339719558,0.2941632852972223,0.26872355694309574,NA,NA,NA,NA,NA,NA,NA,NA,0.6772304776389101,NA,NA,NA,NA,NA,NA,0.6417878551677416,1.489069142066314,0.5007217990037964,0.14518642087896116,0.13385451186470881,NA,NA,0.024600239216143446,NA,NA,0.5880074875895434,NA,NA,NA
Vit B3,Nicotinic acid,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.68640248686704,27.914450300113625,40.40146298366857,242.44933459350577,170.48203090567088,178.00518304756636,NA,NA,NA,NA,NA,NA,NA,NA,NA,207.816775858519,222.4609741569699,105.92964919305753,3.9143113746379714,4.362862691395746,9.358579433718086,NA,NA,NA,NA,NA,NA,NA,3.487320930948605,5.659369383440724,2.3999465182070616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.83261713565295,18.350950006138554,18.997179322675027,NA,NA,NA,NA,NA,NA,NA,NA
Vit B5,Pantothenic acid,7.558888045695632,6.987572177958418,4.531057632471448,NA,NA,NA,18.363313655705156,19.212940453097975,20.714588465923505,NA,NA,NA,NA,NA,NA,27.123117399787834,27.153131712650556,43.528251910376525,167.91897793068384,165.20049079582105,177.0388357439931,82.4328149608762,87.38046228532286,83.34681652750584,NA,NA,NA,8.785984636248905,3.7260856122976738,7.389571071481341,8.496422306455552,NA,NA,NA,NA,NA,NA,1.7880792480241332,4.9475193379787115,3.15693313396633,30.91908780612342,41.618614021262474,31.81859924853162,55.711817653058304,76.4494414876044,61.13783088807373,NA,NA,NA,0.702471567806361,0.8825442170417102,0.4257745539979718,3.7796381554770346,4.574830406536614,4.336675047108059,NA,NA,0.5458932893277371,0.3463371385049969,0.33140221953324733,7.921256885447239,8.302587659415885,4.082020012760919
